1|Examination, Industrial, Insurance||160.00
2|Limited examinations for special policies||112.00
3|Industrial preplacement & periodic examination||66.30
4|Group examination of apparently healthy persons||269.00
5|Sessional Fees - half-day session (3.5 hours) - 5 or less per week||723.00
6|Sessional Fees - 6th or additional half-day session - same week||602.00
7|Consultative or Advisory work - per half day (3 1/2 hrs)||882.00
8|Consultative or Advisory committee work - per day||1760.00
9|Mileage - Auto (to give evidence in court)||0.45
10|Injection, Intramuscular|8.42|17.90
11|Injection, Intravenous|9.93|21.20
12|Injection, venepuncture|4.63|9.70
13|Injection, Intra-arterial|12.45|30.90
14|Injection, Intra-articular - hip (initial injection)|19.84|45.90
15|Injection, Intra-articular - tendons, bursae and all other joints (initial injection)|13.20|30.90
16|Injection, Intrathecal|25.14|52.20
17|Blood Transfusion, Central Venous Pressure Catheter|23.32|70.30
18|Blood Transfusion, Autologous Ascitic Infusion|46.93|142.00
19|Phlebotomy - venesection for polycythemia|24.51|60.60
20|Blood Transfusion administered outside hospital|54.65|115.00
21|Blood Transfusion in Hospital|36.38|104.00
22|Serum transfusion|21.74|45.50
23|Blood Transfusion with Vein Dissection|39.21|78.00
24|Blood Transfusion - Vein Dissection for I.V. Therapy|34.96|90.50
25|Hyperbaric Chamber - physician in chamber - 1st half hour|77.43|203.00
26|Hyperbaric Chamber - physician in chamber - each additional 15 minutes|39.75|103.00
27|Hyperbaric Chamber - physician outside chamber - 1st half hour|52.73|138.00
28|Hyperbaric Chamber - physician outside chamber - each additional 15 minutes|28.00|73.30
30|Skin Tests-diagnostic|8.42|17.90
31|Smallpox-vaccination|7.56|15.80
32|Occupational Fitness Assessment form (OFA)||37.50
33|OFA, completion of section E only||24.00
34|Injection Subcutaneous|8.42|17.90
36|Blood Alcohol Sampling||72.60
37|Blood Alcohol Sampling - for standby time, per half hour||123.00
39|Methadone treatment|10.52|25.80
40|Gavage Stomach|25.41|60.60
41|Ultrasound, treatment|8.42|17.90
42|Mileage|2.59|10.40
43|Anticoagulation Therapy|2.87|10.40
44|Mini tray fee|4.45|8.50
45|Manipulative Therapy|15.67|37.30
46|Hyperbaric Chamber - Additional charge per hour|24.79|80.30
47|Renewal of Prescription||23.75
48|Tray Service||33.25
49|Advice by telephone - per 15 minutes or portion||66.30
50|Eye bank services|105.18|343.00
51|Corneal tissue processing|368.41|1202.00
52|Biofeedback - per half hour||112.00
53|Hypnosis||112.00
54|Preventive Medicine counselling||112.00
55|Driver's license full exam||113.00
56|Driver's licence partial exam||57.60
58|Premarital Examination||112.00
59|Insurance Company Form - extensive report||148.00
60|Certificate Time Loss Benefit form||33.25
61|Letter, Medical advice||112.00
62|Adoption - Examination - initial, of well child, report|62.03|116.00
63|Examination, for Chronic or Rehabilitation care||116.00
64|Adoption - Subsequent Exam - within 6 months|27.90|56.60
65|Mental Ill-health - Investigation|61.41|116.00
66|Mental Ill-health - Documentation|27.60|56.60
67|Mental Ill-Health - Voluntary Committal|27.52|60.60
68|Examination, Physical Fitness||56.10
69|Insurance Company Form - short report||112.00
70|Medico-Legal (ordinary printed form)||130.00
71|Medico-Legal (letter or form)||272.00
72|Medico-Legal (report)||815.00
73|Medico-Legal (opinion)||1361.00
74|Court Testimony - per day||2176.00
75|Court Testimony - per half day or less||1361.00
80|Minor tray fee|8.89|17.05
81|Emergency Bedside care|88.02|227.00
82|Critical care monitoring|52.79|112.00
83|Crisis Intervention|88.02|227.00
84|Accompanying patients|185.00|250.00
85|Visit - Jail - prisoner examination - day time||159.00
86|Visit - Jail - prisoner examination - subsequent visit||159.00
87|Visit - Jail - prisoner examination - additional prisoners - each||112.00
88|Visit - Jail - prisoner examination - night, Saturday, Sunday, or Stat. Holiday||207.00
89|Visit - In Office - prisoner examination - each||112.00
90|Major tray fee|26.68|51.20
91|Court Preparation by expert witness - per hour||324.00
92|Failure of notification of court adjournment||1632.00
93|Transfer of Patient Records||27.20
94|YAG laser tray service fee|55.59|121.00
95|Review of records by physician||76.00
96|Photocopying, per page||1.20
97|Examination & Red Cross form - Plasmapheresis donors||80.70
98|ICBC Consultation||47.92
99|Misc. (general services)|223.45|
100|Visit - In Office (age 2-59) - G.P.|27.90|56.60
101|Visit - In Office - complete examination (age 2-59) - G.P.|62.03|122.00
103|Visit - Home - day - G.P.|64.56|100.00
104|Visit - Home - day - extra patients - G.P.|32.28|50.10
105|Visit - Hospital - On-Call, On-Site - Night - G.P.|51.25|106.00
108|Visit - Hospital - essential, non-emergent, additional - G.P.|31.31|49.80
109|Visit - Hospital - first - G.P.|74.23|113.00
110|Consultation - G.P. - in or out of office (age 2-59)|62.03|122.00
111|Visit - Emergency - Home or scene of accident - G.P.|104.09|198.00
112|Visit - Emergency - Day - G.P.|81.47|144.00
113|Visit - Hospital - On-Call, On-Site - Evening - G.P.|36.44|80.50
114|Visit - Nursing Home - one or multiple, per patient - G.P.|21.74|49.80
115|Visit - Nursing Home - one patient - when specially called - G.P.|64.56|100.00
116|Consultation - G.P. - special in-hospital|136.37|250.00
117|E.C.G. Interpretation only G.P.|8.79|21.30
118|Caesarean section - attendance by G.P.|80.23|172.00
119|Newborn Care, Routine, in Hospital-G.P.|61.41|122.00
120|Counselling - individual - in office (age 2-59) - G.P.|48.57|122.00
121|Group counselling - G.P. - 2 or more patients - first full hour|79.40|230.00
122|Group counselling - G.P. - 2 or more patients - second hour - per 1/2 hour|39.75|115.00
123|Visit - Hospital - On-Call, On-Site - Sat./Sun./Stat.Holiday - G.P.|36.44|80.50
127|Visit - Hospital - for terminal care - G.P.|31.31|49.80
128|Supportive Care-G.P.|26.51|49.80
190|Treatments other than excision- minor|27.60|58.80
193|Non-CVT Certified surgical assist @ Open Heart Surgery|24.70|64.50
194|Surgical Assistance (< $105.00)|65.21|139.00
195|Surgical Assistance ($105.00 to $314.00 inclusive)|115.58|247.00
196|Surgical Assistance ($314.01 to $523.00 inclusive)|162.97|347.00
197|Surgical Assistance (> $523.00)|213.40|455.00
198|Surgical Assistant - > 3 hours (continuous)|24.41|51.80
199|Misc.|336.19|
204|Directive care by Consultants - G.P.|20.87|67.10
205|Visit - Emergency - Dermatology|82.99|256.00
206|Examination Systemic Diseases Dermatological|125.64|376.00
207|Visit - Office - Dermatology|21.89|67.10
208|Visit - Hospital - Dermatology|20.87|67.10
209|Visit - Home - subsequent - Dermatology|41.58|125.00
210|Consultation - Dermatology|52.95|158.00
214|Consultation - Dermatology - repeat or limited|36.15|111.00
217|Skin lesions - special therapy|10.29|33.05
218|Curettage Electrosurgery, skin carcinoma|57.28|170.00
219|Curettage Skin Carcinoma, Additional lesion|28.62|84.60
222|Psoralen Ultra Violet A treatment - whole body|19.94|70.10
223|Psoralen Ultra Violet A treatment - partial body|19.94|70.10
224|Ultra violet B treatment, whole or partial body|19.94|70.40
225|Moh's Technique-initial cut|341.56|1013.00
226|Moh's Technique-additional cuts|295.85|875.00
227|Moh's Technique-technical component|318.49|832.00
228|Epilation (Photo) of facial hair|27.88|81.10
235|Pulsed laser- face/neck - < 50cm2|66.61|216.00
236|Pulsed laser - face/neck/eyelid - > 50cm2|99.91|323.00
237|Pulsed laser/GA|37.21|119.00
278|ICBC  CL19 Form||134.55
299|Misc.|911.22|
301|Geriatric Assessment|217.85|594.00
302|Geriatric Reassessment|59.62|157.00
305|Visit - Emergency - Internal Medicine|93.00|238.00
306|Directive care - Internal Medicine|38.19|75.90
307|Visit - Office - Internal Medicine|39.89|80.30
308|Visit - Hospital - Internal Medicine|23.51|58.90
309|Visit - Home - Internal Medicine|41.97|118.00
310|Consultation - Internal Medicine|137.05|415.00
312|Consultation - Internal Medicine - limited|65.80|209.00
313|Group counselling - Internal Medicine - 2 or more patients - first full hour|91.75|421.00
314|Consultation - Internal Medicine - prolonged visit|44.80|209.00
315|Group counselling - Internal Medicine - 2 or more patients - second hour - per 1/2 hour|45.85|216.00
316|Electrocardiogram and Interpretation Office (Int. Med.)|24.05|71.60
317|Electrocardiogram and Interpretation Home (Int. Med.)|33.45|111.00
318|Electrocardiogram, Interpretation only, Int. Med.|8.42|29.15
319|Central catheter insertion - TPN|55.46|164.00
320|Master's 2-step - interpretation|16.83|56.20
321|Electrocardiogram Masters 2-Step- technical fee|49.72|161.00
322|Cardioangiogram Internist part|45.64|158.00
323|Dialysis - Peritoneal - initial consultation and 2 weeks care|341.49|1115.00
325|Cardioversion|79.10|266.00
326|Pacemaker testing - single chamber (professional fee)|45.36|152.00
328|Pacemaker testing - dual chamber (professional fee)|68.02|232.00
330|Pacemaker temporary - external|156.97|528.00
331|Chest drainage - closed|105.08|311.00
332|Pacemaker, Internist Standby|79.10|267.00
333|Pacemaker, Internist Generator|258.25|866.00
334|Graded exercise test - Internal Medicine (performance and interpretation)|73.06|246.00
335|Graded exercise test - Internal Medicine (professional fee)|43.34|145.00
336|Graded exercise test - Internal Medicine (technical fee)|29.72|100.00
337|Transfusion, Replacement Hepatic Failure|282.31|938.00
338|Plasmapheresis -Therapeutic|112.59|388.00
339|Master's 2 step - technical fee|32.89|97.10
340|Scanning of 8 hour electrocardiogram|70.11|230.00
341|Scanning of 8 hour electrocardiogram - professional fee|44.04|151.00
342|Scanning of 8 hour electrocardiogram - technical fee|26.07|80.30
343|Cardiac Screening|4.56|19.00
344|Cardiac Screening- professional fee|2.28|10.95
345|Cardiac Screening-technical fee|2.28|10.95
347|Scanning of 24 hr. E.C.G.-professional fee|64.86|220.00
348|Scanning of 24 hr. E.C.G.- technical fee|24.33|80.30
349|Scanning of 24 hr. E.C.G. - Level 1|53.12|176.00
350|Dialysis - Acute Renal, hemodialysis|456.44|1491.00
351|Dialysis - Blood, Repeat|171.53|566.00
352|Dialysis Vein Dissection|115.39|376.00
353|Pacemaker testing - single chamber (technical fee)|22.68|67.20
354|Pacemaker testing - dual chamber (technical fee)|45.36|135.00
355|Dialysis - Acute Renal Failure, Peritoneal|341.49|1115.00
356|Peritoneal Dialysis Subsequent|44.86|151.00
357|Trans-esophageal echocardiography|86.33|145.00
358|Dialysis - Chronic Renal (hemodialysis)|44.86|151.00
359|Dialysis - Peritoneal - subsequent|44.86|151.00
361|Dialysis - Home Supervision|54.23|184.00
362|Event/unmonitored loop recorders (first strip) - Professional fee|35.52|97.70
363|Scanning of 24-hr. E.C.G. - Level 2|39.83|135.00
364|Scanning of 24-hr. E.C.G. - Level 3|26.63|88.60
365|Scanning of 24-hr. E.C.G. - Level 4|13.31|44.55
366|Intra-cardiac electrophysiological mapping - initial st|761.24|2507.00
368|Esophageal or intra-atrial electrophysiological study|113.80|391.00
369|Event/unmonitored loop recorders - each additional strip (per strip)|17.76|51.10
370|Ooesophageal dilation - first|55.76|165.00
371|Ooesophageal dilation - repeat|33.67|99.80
372|Bone mineral content|38.01|145.00
373|Colonoscopy - biopsy|229.07|680.00
374|Colonoscopy - removal of polyp|342.47|1014.00
381|Cancer chemotherapy, high intensity|146.10|427.00
382|Cancer chemotherapy-major|85.69|267.00
383|Cancer chemotherapy, limited|48.97|135.00
385|Catheter ablation - AV node|930.31|2699.00
386|Catheter ablation of SVT|1422.82|4126.00
387|Catheter ablation of VT|1532.27|4445.00
388|EP study - repeat, diagnostic|328.34|953.00
389|Catheter ablation - assistant's fee|136.81|395.00
390|Care of Renal Transplant by nephrologist|1015.65|2915.00
391|Echocardiogram - 2-D/ M-Mode|141.42|418.00
392|Event/unmonitored loop recorders - technical fee|42.68|117.00
393|Percutaneous Endoscopically Placed Feeding Tube|159.28|459.00
394|PEG procedure-assistants fee|109.56|316.00
395|Eosinophils - secretion smear|7.07|20.90
396|Examination - feces - cell count|5.14|15.25
397|Examination - feces - microscopic, fat|5.22|15.40
399|Misc.|850.24|
405|Visit - Emergency - Neurology|79.14|195.00
406|Directive care - Neurology|36.61|61.90
407|Visit - Office - Neurology|36.60|64.20
408|Visit - Hospital - Neurology|36.61|48.00
409|Visit - Home - Neurology|39.63|96.10
410|Consultation - Neurology|145.47|338.00
411|Consultation - Neurology - limited|73.21|170.00
413|Electroencephalogram - interpretation - technical fee|76.30|198.00
415|Electroencephalogram and interpretation|112.67|265.00
416|Electroencephalogram - interpretation|33.35|54.20
417|Electrocorticography|223.90|616.00
418|Activating Agent by electroencephalographer|21.95|59.80
419|Electroclinical detailed interpretation of seizures|395.18|1071.00
420|Short study of electroclinical interpretation of seizures|203.49|546.00
421|Electrocorticography with functional mapping in awake craniotomy|482.49|1240.00
424|Botulinum Toxin Injections|114.83|304.00
426|Electroencephalogram - sleep only|149.39|381.00
427|Electroencephalogram - sleep only - professional fee|39.53|91.50
428|Electroencephalogram - sleep only - technical fee|112.50|291.00
499|Misc.|632.71|
505|Visit - Emergency - Paediatrics|89.20|176.00
506|Directive care - Paediatrics|38.23|77.30
507|Visit - Office - Paediatrics|43.32|80.30
508|Visit - Hospital - Paediatrics|34.26|52.20
509|Visit - Home - Paediatrics|56.61|117.00
510|Consultation - Paediatrics|158.25|309.00
511|Consultation - complex behavioral, developmental or psychiatric condition in a child|225.00|517.00
512|Consultation - Paediatrics - limited|76.75|156.00
513|Group counselling - Paediatrics - 2 or more patients - first full hour|93.08|253.00
514|Counselling - prolonged - Paediatrics|59.36|156.00
515|Group counselling - Paediatrics - 2 or more patients - second hour - per 1/2 hour|46.53|125.00
516|Newborn Care in Hospital Paediatrician||206.00
517|Periodic health examinations - infants||107.00
519|Periodic health examinations - children & adolescents||120.00
520|Adoption - assessment and examination prior to||426.00
523|Exchange transfusion - procedural fee|340.44|759.00
525|Infusion, Intra-arterial|71.04|148.00
526|Infusion Intravenous in Infants|42.49|104.00
527|Electrocardiogram and Interpretation Office (Paed.)|25.93|53.30
528|Electrocardiogram and Interpretation Home (Paed.)|36.05|82.50
529|Electrocardiogram, Interpretation only, Paed.|9.07|21.70
530|Graded exercise test - Paediatrics (technical fee)|32.03|74.70
531|Graded exercise test - Paediatrics (total fee)|78.73|182.00
532|Electrocardiogram and Interpretation Children - < 2 years|42.49|86.40
533|Electrocardiogram and Interpretation - professional fee|9.97|21.70
534|Electrocardiogram and Interpretation - technical fee|32.52|65.90
535|Graded exercise test - Paediatrics (professional fee)|46.70|108.00
537|Rectal manometry|117.81|275.00
538|Esophageal manometry|176.18|396.00
539|Rectal suction biopsy|78.95|179.00
540|Intra-esophageal pH study|182.27|412.00
599|Misc.|578.74|
605|Visit - Emergency - Psychiatry|123.60|234.00
607|Visit - Office - Psychiatry|39.75|72.70
608|Visit - Hospital - Psychiatry|46.62|83.40
609|Visit - Home - Psychiatry|61.88|116.00
610|Consultation - Psychiatry|185.95|351.00
613|Geriatric consultation (patients of age 75 years or older)|256.46|486.00
614|Consultation - geriatric - repeat or limited - Psychiatry|128.21|245.00
615|Consultation - Hospital/institution in-patient or home|204.54|387.00
622|Consultation - Psychiatry - Emotionally disturbed child|320.65|602.00
623|Consultation - Psychiatry - disturbed family (3 or more members)|320.65|602.00
624|Evaluation family member, Psychiatry|72.99|138.00
625|Consultation - Psychiatry - repeat|93.91|176.00
626|Consultation - Psychiatry - Emotionally disturbed child - repeat|160.33|305.00
627|Consultation - Psychiatry - disturbed family (3 or more members) - repeat|160.33|305.00
630|Psychotherapy - individ. (office or out-patient) per 1/2 hr|79.46|138.00
631|Psychotherapy individual (office or out-patient) per 3/4 hr|110.74|207.00
632|Psychotherapy individual (office or out-patient) per 1 hr|141.81|276.00
633|Psychotherapy family per 1/2 hr|84.68|148.00
635|Psychotherapy family per 3/4 hr|118.01|220.00
636|Psychotherapy family per hour|151.19|294.00
641|Electroencephalotherapy - Psychiatry|70.66|135.00
643|Environmental intervention - per half hour - psychiatric patient||116.00
644|Environmental intervention - per half hour - disturbed child||116.00
645|Patient management conference - 15 mins.|39.75|74.80
650|Psychotherapy, medical - individual - per 1/2 hr|93.26|161.00
651|Psychotherapy, medical - individual - per 3/4 hr|129.98|246.00
652|Psychotherapy, medical - individual - per 1 hr|166.56|323.00
655|Interpreting or explaining results - per half hour||116.00
663|Group Psychotherapy -Three patients - per patient, per 1/2 hour|27.09|49.50
664|Group Psychotherapy -Four patients - per patient, per 1/2 hour|21.90|38.55
665|Group Psychotherapy - Five patients - per patient, per 1/2 hour|18.80|31.65
666|Group Psychotherapy - Six patients - per patient, per 1/2 hour|16.74|27.90
667|Group Psychotherapy - Seven patients - per patient, per 1/2 hour|15.26|24.80
668|Group Psychotherapy - Eight patients - per patient, per 1/2 hour|14.16|22.40
669|Group Psychotherapy - Nine patients - per patient, per 1/2 hour|13.29|20.90
670|Group Psychotherapy - Ten patients - per patient, per 1/2 hour|12.59|19.35
699|Misc.|682.87|
700|Bronchoscopy Diagnostic|77.71|210.00
701|Direct laryngoscopy|36.63|101.00
702|Bronchoscopy with biopsy|124.46|386.00
703|Culdoscopy or open colpotomy|124.74|362.00
704|Cystoscopy with dilatation, biopsy, fulguration or stent removal|93.50|174.00
705|Cystoscopy w/ catheterization of ureters|98.33|184.00
706|Oesophagoscopy with biopsy|104.85|341.00
707|Gastroscopy including oesophagoscopy|86.33|289.00
708|Gastroscopy|84.45|274.00
709|Oesophagoscopy|72.61|200.00
710|Mediastinoscopy or anterior mediastinotomy|154.52|241.00
711|Biopsy - Gastric Diagnostic|26.40|87.50
715|Sigmoidoscopy with Biopsy|35.32|104.00
716|Sigmoidoscopy - flexible - diagnostic|58.47|191.00
717|Micro-laryngoscopy|73.25|202.00
718|Flexible sigmoidoscopy with biopsy|75.33|244.00
719|Thoracoscopy|136.87|337.00
721|Myelogram Diagnostic|39.37|80.20
722|Arteriography, operative|68.44|223.00
723|Sialogram or galactograms injection|39.37|75.70
724|Air Insufflation - pre-sacral|34.89|75.70
727|Salpingogram Diagnostic|64.26|128.00
728|Orthodiagram Diagnostic|11.43|30.90
729|Fluoroscopy Chest Diagnostic|10.90|35.70
730|Bronchogram catheterization|24.46|53.10
731|Biopsy - Duodenal|75.33|246.00
732|Cysto-Urethrogram, Voiding|17.56|29.15
733|Intra-osseous venogram|50.26|107.00
734|Lymphangiography, surgical|116.61|263.00
735|Laryngogram|24.78|73.40
736|Bronchial Brushing in conjunction with bronchoscopy|65.45|210.00
738|Biliary Calculi - Removal|183.46|374.00
739|Mediastinal biopsy|79.83|160.00
740|Biopsy - Needle - Liver|78.77|128.00
741|Biopsy - Needle - Splenic|78.77|128.00
742|Biopsy - Needle - Renal|79.83|176.00
743|Breast lesion, non-palpable localizing|84.04|179.00
