1-8	Acyclovir
2-6	Almecillin
3-4	Almecillin
4-2	Almecillin
5-9	Almecillin; Isolate+Ser
6-7	Amantadine
7-5	Amdinocillin
8-3	Amdinocillin
9-1	Amdinocillin
10-9	Amdinocillin
11-7	Amikacin
12-5	Amikacin
10000-8	R wave duration.lead AVR
10001-6	R wave duration.lead I
10002-4	R wave duration.lead II
10003-2	R wave duration.lead III
10004-0	R wave duration.lead V1
10005-7	R wave duration.lead V2
10006-5	R wave duration.lead V3
10007-3	R wave duration.lead V4
10008-1	R wave duration.lead V5
10009-9	R wave duration.lead V6
10010-7	R' wave amplitude.lead AVF
10011-5	R' wave amplitude.lead AVL
10012-3	R' wave amplitude.lead AVR
10013-1	R' wave amplitude.lead I
10014-9	R' wave amplitude.lead II
10015-6	R' wave amplitude.lead III
10016-4	R' wave amplitude.lead V1
10017-2	R' wave amplitude.lead V2
10018-0	R' wave amplitude.lead V3
10019-8	R' wave amplitude.lead V4
10020-6	R' wave amplitude.lead V5
10021-4	R' wave amplitude.lead V6
10022-2	R' wave duration.lead AVF
10023-0	R' wave duration.lead AVL
10024-8	R' wave duration.lead AVR
1002-5	Anti-Bg
10025-5	R' wave duration.lead I
10026-3	R' wave duration.lead II
10027-1	R' wave duration.lead III
10028-9	R' wave duration.lead V1
10029-7	R' wave duration.lead V2
10030-5	R' wave duration.lead V3
10031-3	R' wave duration.lead V4
10032-1	R' wave duration.lead V5
1003-3	Indirect Antiglobulin Test, Complement Specific
10033-9	R' wave duration.lead V6
10034-7	S wave amplitude.lead AVF
10035-4	S wave amplitude.lead AVL
10036-2	S wave amplitude.lead AVR
10037-0	S wave amplitude.lead I
10038-8	S wave amplitude.lead II
10039-6	S wave amplitude.lead III
10040-4	S wave amplitude.lead V1
1004-1	Direct Antiglobulin Test, Complement Specific
10041-2	S wave amplitude.lead V2
10042-0	S wave amplitude.lead V3
10043-8	S wave amplitude.lead V4
10044-6	S wave amplitude.lead V5
10045-3	S wave amplitude.lead V6
10046-1	S wave duration.lead AVF
10047-9	S wave duration.lead AVL
10048-7	S wave duration.lead AVR
10049-5	S wave duration.lead I
10050-3	S wave duration.lead II
10051-1	S wave duration.lead III
10052-9	S wave duration.lead V1
10053-7	S wave duration.lead V2
10054-5	S wave duration.lead V3
10055-2	S wave duration.lead V4
10056-0	S wave duration.lead V5
10057-8	S wave duration.lead V6
1005-8	Indirect Antiglobulin Test, IgG Specific
10058-6	S' wave amplitude.lead AVF
10059-4	S' wave amplitude.lead AVL
10060-2	S' wave amplitude.lead AVR
10061-0	S' wave amplitude.lead I
10062-8	S' wave amplitude.lead II
10063-6	S' wave amplitude.lead III
