AEROSOL	AER
AEROSOL, FOAM	FOAM
AEROSOL, METERED DOSE	AER
BAR (CHEWABLE)	BAR
CAPSULE	CAP
CAPSULE (CONTROLLED-DELIVERY)	ERCAP
CAPSULE (DELAYED RELEASE)	ERCAP
CAPSULE (ENTERIC-COATED)	ENTCAP
CAPSULE (EXTENDED RELEASE)	ERCAP
CAPSULE (IMMEDIATE AND DELAYED RELEASE)	ERCAP
CAPSULE (IMMEDIATE AND EXTENDED RELEASE)	ERCAP
CAPSULE (IMMEDIATE RELEASE)	ERCAP
CAPSULE (SUSTAINED-RELEASE)	ERCAP
CREAM	CRM
DISC	DISK
DISC (EXTENDED-RELEASE)	DISK
DOUCHE	DOUCHE
DROPS	DROP
ELIXIR	ELIXIR
ENEMA	ENEMA
FILM, SOLUBLE	PATCH
GAS	GASINHL
GEL	GEL
GEL (CONTROLLED-RELEASE)	GELAPL
GRANULES	GRAN
GRANULES FOR SOLUTION	GRAN
GRANULES FOR SUSPENSION	GRAN
GRANULES FOR SUSPENSION, DELAYED RELEASE	GRAN
GRANULES FOR SUSPENSION,EXTENDED RELEASE	GRAN
GUM	GUM
LOTION	LTN
LOZENGE	ORTROCHE
METERED-DOSE AEROSOL	MDINHL
METERED-DOSE PUMP	MDINHL
MOUTHWASH/GARGLE	RINSE
OINTMENT	OINT
PAD	PAD
PASTE	PASTE
PATCH	PATCH
PATCH (EXTENDED RELEASE)	PATCH
PELLET	PELLET
PELLET (DENTAL)	PELLET
PILL	PILL
POWDER	POWD
POWDER (EFFERVESCENT)	POWD
POWDER (ENTERIC-COATED)	POWD
POWDER (EXTENDED RELEASE)	POWD
POWDER (METERED DOSE)	POWD
POWDER FOR SOLUTION	POWD
POWDER FOR SUSPENSION	POWD
POWDER FOR SUSPENSION, SUSTAINED-RELEASE	POWD
RING (SLOW-RELEASE)	VAGSUPP
SHAMPOO	SHMP
SOAP BAR	BARSOAP
SOLUTION	SOL
SOLUTION (EXTENDED RELEASE)	SOL
SOLUTION (LONG-ACTING)	SOL
SPRAY	SPRYADAPT
SPRAY, BAG-ON-VALVE	SPRYADAPT
SPRAY, METERED DOSE	SPRYADAPT
SUPPOSITORY	SUPP
SUPPOSITORY (SUSTAINED-RELEASE)	SUPP
SUSPENSION	SUSP
SUSPENSION (EXTENDED-RELEASE)	ERSUSP
SUSPENSION (LENTE)	ERSUSP
SUSPENSION (ULTRA-LENTE)	ERSUSP
SWAB	SWAB
SYRUP	SYRUP
SYRUP (EXTENDED-RELEASE)	SYRUP
TABLET	TAB
TABLET (CHEWABLE)	TAB
TABLET (COMBINED RELEASE)	TAB
TABLET (DELAYED AND EXTENDED RELEASE)	TAB
TABLET (DELAYED-RELEASE)	TAB
TABLET (EFFERVESCENT)	TAB
TABLET (ENTERIC-COATED)	ECTAB
TABLET (EXTENDED-RELEASE)	ERTAB
TABLET (IMMEDIATE AND DELAYED-RELEASE)	TAB
TABLET (IMMEDIATE RELEASE)	TAB
TABLET (ORALLY DISINTEGRATING)	SLTAB
TABLET (SLOW-RELEASE)	TAB
TABLET FOR SUSPENSION	TAB
TINCTURE	TINC
TOOTHPASTE	TPASTE
VAGINAL TABLET	VAGTAB
VAGINAL TABLET, EFFERVESCENT	VAGTAB
WAFER	WAFER
WIPE	SWAB
