02	TBD	%
02SA	TBD	%
24UA	TBD	mg/24h
24UR	TBD	mg/24h
5DAA	TBD	UNK
A1C	TBD	UNK
AACP	TBD	UNK
ACOS	TBD	UNK
ACR	TBD	mg/mmol
ACS	TBD	UNK
AEDR	TBD	UNK
AELV	TBD	UNK
AENC	TBD	UNK
AHGM	TBD	UNK
AIDU	TBD	UNK
ALB	TBD	g/l
ALC	TBD	UNK
ALP	TBD	UNK
ALPA	TBD	UNK
ALT	TBD	U/L
Ang	TBD	UNK
ANR	TBD	UNK
ANSY	TBD	UNK
AORA	TBD	UNK
ARAD	TBD	UNK
ARDT	TBD	UNK
ARMA	TBD	UNK
ASAU	TBD	UNK
ASPR	TBD	UNK
AST	TBD	U/L
ASTA	TBD	UNK
ASWA	TBD	UNK
ASYM	TBD	UNK
BCTR	TBD	UNK
BG	TBD	mmol/L
BILC	TBD	mmol/L
BILT	TBD	mmol/L
BILU	TBD	mmol/L
BMED	TBD	UNK
BMI	39156-5	kg/m2
BP	55284-4	mm[Hg]
BPI	TBD	UNK
BPII	TBD	UNK
BPIS	TBD	UNK
CASA	TBD	UNK
CD4	TBD	x10e9/l
CD4P	TBD	%
CDMP	TBD	UNK
CEDE	TBD	UNK
CEDM	TBD	UNK
CEDS	TBD	UNK
CEDW	TBD	UNK
CERV	TBD	UNK
CGSD	TBD	UNK
CIMF	TBD	UNK
CK	TBD	UNK
Clpl	TBD	mmol/L
CMVI	TBD	UNK
CODC	TBD	UNK
COPE	TBD	UNK
COPM	TBD	UNK
COPS	TBD	UNK
COUM	TBD	mg/week
CRCL	TBD	ml/h
CVD	TBD	UNK
CXR	TBD	UNK
DARB	TBD	UNK
DEPR	TBD	UNK
DESM	TBD	UNK
DiaC	TBD	UNK
DIER	TBD	UNK
DIET	TBD	UNK
DIFB	TBD	UNK
DIGT	TBD	UNK
DM	TBD	UNK
DMED	TBD	UNK
DMME	TBD	UNK
DMSM	TBD	UNK
DNFS	TBD	UNK
DOLE	TBD	UNK
DpSc	TBD	UNK
DRCO	TBD	UNK
DRPW	TBD	UNK
DT1	TBD	UNK
DT2	TBD	UNK
DTYP	TBD	UNK
ECG	TBD	UNK
EDC	TBD	UNK
EDDD	TBD	UNK
EDF	TBD	UNK
EDGI	TBD	UNK
EDND	TBD	UNK
EDNL	TBD	UNK
EGFR	TBD	ml/min
EPR	TBD	UNK
EXE	TBD	UNK
ExeC	TBD	UNK
Exer	TBD	min/week
EYEE	TBD	UNK
FAHS	TBD	UNK
FBPC	TBD	mmol/L
FBS	TBD	UNK
FEET	11428-0	UNK
FEV1	TBD	UNK
FGLC	TBD	UNK
FICO	TBD	UNK
FLUF	TBD	UNK
FOBF	TBD	UNK
FRAM	TBD	%
FTE	TBD	UNK
FTEx	TBD	UNK
FTIn	TBD	UNK
FTIs	TBD	UNK
FTLS	TBD	UNK
FTNe	TBD	UNK
FTOt	TBD	UNK
FTRe	TBD	UNK
FTST	TBD	nmol/L
FTUl	TBD	UNK
G	TBD	UNK
G6PD	TBD	UNK
Hb	TBD	g/L
HbAi	TBD	UNK
Hchl	TBD	UNK
HDL	TBD	mmol/L
HEAD	TBD	cm
HFCG	TBD	UNK
HFCS	TBD	UNK
HFMD	TBD	UNK
HFMH	TBD	UNK
HFMO	TBD	UNK
HFMS	TBD	UNK
HFMT	TBD	UNK
HIP	TBD	UNK
HIVG	TBD	UNK
HLA	TBD	UNK
HpAI	TBD	UNK
HpBA	TBD	UNK
HPBC	TBD	UNK
HPBP	TBD	UNK
HpBS	TBD	UNK
HpCA	TBD	UNK
HPCG	TBD	UNK
HPCP	TBD	UNK
HR	8867-4	beats/min
HRMS	TBD	UNK
HSMC	TBD	UNK
HSMG	TBD	UNK
HT	8302-2	cm
HTN	TBD	UNK
HYPE	TBD	UNK
HYPM	TBD	UNK
IART	TBD	UNK
iDia	TBD	UNK
iEx	TBD	UNK
iHyp	TBD	UNK
INR	TBD	UNK
INSL	TBD	UNK
iOth	TBD	UNK
iRef	TBD	UNK
JVPE	TBD	UNK
KEEL	TBD	UNK
Kpl	TBD	mmol/L
LcCt	TBD	UNK
LDL	TBD	UNK
LEFP	TBD	UNK
LETH	TBD	UNK
LHAD	TBD	UNK
LMED	TBD	UNK
LMP	TBD	UNK
LUCR	TBD	UNK
MACA	TBD	UNK
MACC	TBD	UNK
MAMF	TBD	UNK
MCCE	TBD	UNK
MCCN	TBD	UNK
MCCO	TBD	UNK
MCCS	TBD	UNK
MedA	TBD	UNK
MedG	TBD	UNK
MedN	TBD	UNK
MedR	TBD	UNK
MI	TBD	UNK
Napl	TBD	mmol/L
NDIP	TBD	UNK
NDIS	TBD	UNK
NERF	TBD	UNK
NOSK	TBD	UNK
NOVS	TBD	UNK
NtrC	TBD	UNK
NYHA	TBD	UNK
OSWP	TBD	UNK
OSWS	TBD	UNK
OTCO	TBD	UNK
OthC	TBD	UNK
OUTR	TBD	UNK
P	TBD	UNK
PANE	TBD	UNK
PAPF	TBD	UNK
PEDE	TBD	UNK
PEFR	TBD	UNK
PHIN	TBD	UNK
PHQS	TBD	UNK
PIDU	TBD	UNK
POSK	TBD	UNK
PPD	TBD	UNK
PRRF	TBD	UNK
PSPA	TBD	UNK
PSQS	TBD	UNK
PSSC	TBD	UNK
PsyC	TBD	UNK
PTSD	TBD	UNK
PULS	8867-4	beats/min
PULSE	8867-4	beats/min
PVD	TBD	UNK
QDSH	TBD	UNK
RABG	TBD	UNK
REBG	TBD	UNK
RESP	TBD	UNK
RETI	TBD	UNK
RPHR	TBD	UNK
RPPT	TBD	UNK
RVTN	TBD	UNK
SCR	TBD	umol/L
SEXF	TBD	UNK
SKD	TBD	UNK
SKST	TBD	UNK
SMBG	TBD	UNK
SmCC	TBD	UNK
SMCD	TBD	UNK
SMCP	TBD	UNK
SMCS	TBD	UNK
SMK	TBD	UNK
SmkA	TBD	UNK
SmkC	TBD	UNK
SmkD	TBD	UNK
SmkF	TBD	UNK
SmkP	TBD	UNK
SmkPY	TBD	UNK
SmkS	TBD	UNK
SODI	TBD	UNK
SOHF	TBD	UNK
SPIR	TBD	UNK
SSEX	TBD	UNK
STRE	TBD	UNK
StSc	TBD	UNK
SUAB	TBD	UNK
SUO2	TBD	UNK
TCHD	TBD	UNK
TCHL	TBD	mmol/L
TEMP	8310-5	C
TG	TBD	UNK
TOXP	TBD	UNK
TRIG	TBD	mmol/L
TSH	TBD	UNK
TUG	TBD	UNK
UA	TBD	mmol/L
UACR	TBD	mg/mmol
UAIP	TBD	UNK
UALB	TBD	mg/mmol
UDUS	TBD	UNK
UHTP	TBD	UNK
URBH	TBD	UNK
USSH	TBD	UNK
VB12	TBD	pmol/L
VDRL	TBD	UNK
VLOA	TBD	x10e9/L
WAIS	56115-9	cm
WHR	TBD	UNK
WT	3141-9	kg
